instance,strategy,objective,z_eff,z_eq,transit_share,transit_ridership,private_flow,avg_access_min,avg_access_increase_min,coverage,max_zone_access_increase,retained_stops,avg_frequency,avg_wait_min,avg_ivh_min,runtime_sec,mip_gap,kkt_residual,fixed_point_iters,feasible,y_pattern,freq_pattern,strategy_short,lambda_eq
route438_lambda_0.10,Frequency-only MILP,10.598536141135932,10.598536141135932,1.0292517175900214e-16,0.3237031817292447,3456.6228071152314,7221.745820384413,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,40.02610469585146,1.7285448000766337,0.00017551326749117325,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,0.1
route438_lambda_0.10,Joint MILP,9.627189668667972,9.577336881353926,0.4985278731404669,0.38162280792563963,4075.110088644352,6603.2588457591755,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,5.6,5.485714285714286,36.04714289655996,4.854075800161809,0.0996574708466626,,18,True,101101101111101111111010101011,"5,7,7,5,5,5,5,5,7,5",MILP,0.1
route438_lambda_0.20,Current practice,11.43418076986891,11.43418076986891,1.0292517175900214e-16,0.27793055323068655,2967.8456787456134,7710.522665082381,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,40.15841699506601,0.013787899632006884,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.2
route438_lambda_0.20,Stop-only MILP,10.625093826506617,10.525388251878525,0.4985278731404669,0.32820242144718104,3504.667359969536,7173.701291350631,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,3.7,8.55,36.19583857337645,1.4543877001851797,0.006487108517808309,,18,True,101101101111101111111010101011,"3,5,5,3,3,3,3,4,5,3",S,0.2
route438_lambda_0.20,Frequency-only MILP,10.598536141135932,10.598536141135932,1.0292517175900214e-16,0.3237031817292447,3456.6228071152314,7221.745820384413,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,40.02610469585146,1.7003031997010112,0.0006034092668411194,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,0.2
route438_lambda_0.20,Joint MILP,9.677042455982019,9.577336881353926,0.4985278731404669,0.38162280792563963,4075.110088644352,6603.2588457591755,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,5.6,5.485714285714286,36.04714289655996,4.21767449984327,0.10514179509587511,,18,True,101101101111101111111010101011,"5,7,7,5,5,5,5,5,7,5",MILP,0.2
route438_lambda_0.35,Current practice,11.43418076986891,11.43418076986891,1.0292517175900214e-16,0.27793055323068655,2967.8456787456134,7710.522665082381,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,40.15841699506601,0.013250699732452631,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.35
route438_lambda_0.35,Stop-only MILP,10.699873007477688,10.525388251878525,0.4985278731404669,0.32820242144718104,3504.667359969536,7173.701291350631,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,3.7,8.55,36.19583857337645,1.3628532998263836,0.008396091960309654,,18,True,101101101111101111111010101011,"3,5,5,3,3,3,3,4,5,3",S,0.35
route438_lambda_0.35,Frequency-only MILP,10.598536141135932,10.598536141135932,1.0292517175900214e-16,0.3237031817292447,3456.6228071152314,7221.745820384413,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,40.02610469585146,1.7657611998729408,0.00024383778077773674,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,0.35
route438_lambda_0.35,Joint MILP,9.751821636953089,9.577336881353926,0.4985278731404669,0.38162280792563963,4075.110088644352,6603.2588457591755,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,5.6,5.485714285714286,36.04714289655996,4.292190600186586,0.055518538867626185,,18,True,101101101111101111111010101011,"5,7,7,5,5,5,5,5,7,5",MILP,0.35
route438_lambda_0.50,Current practice,11.43418076986891,11.43418076986891,1.0292517175900214e-16,0.27793055323068655,2967.8456787456134,7710.522665082381,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,40.15841699506601,0.013276400044560432,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.5
route438_lambda_0.50,Stop-only MILP,10.774652188448758,10.525388251878525,0.4985278731404669,0.32820242144718104,3504.667359969536,7173.701291350631,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,3.7,8.55,36.19583857337645,1.341221600305289,0.007984264851011981,,18,True,101101101111101111111010101011,"3,5,5,3,3,3,3,4,5,3",S,0.5
route438_lambda_0.50,Frequency-only MILP,10.598536141135932,10.598536141135932,1.0292517175900214e-16,0.3237031817292447,3456.6228071152314,7221.745820384413,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,40.02610469585146,1.6809744001366198,0.00924802455729166,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,0.5
route438_lambda_0.50,Joint MILP,9.82481611804734,9.662748049993894,0.3241361361068913,0.37618725454951896,4017.06723077431,6661.301675441702,6.775961525178525,0.3241361361068912,1.0,1.3277953372173068,23,5.6,5.485714285714286,36.54920371921752,4.101759499870241,0.03086836557988471,,18,True,101101101111101111111110101011,"5,7,7,5,5,5,5,5,7,5",MILP,0.5
route438_lambda_0.75,Current practice,11.43418076986891,11.43418076986891,1.0292517175900214e-16,0.27793055323068655,2967.8456787456134,7710.522665082381,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,40.15841699506601,0.013109100051224232,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.75
route438_lambda_0.75,Stop-only MILP,10.849724396878624,10.606622294798456,0.3241361361068913,0.3231527381251874,3450.7449658606256,7227.62365508505,6.775961525178525,0.3241361361068912,1.0,1.3277953372173068,23,3.7,8.55,36.69599861166541,1.37345220008865,0.009900419308760835,,18,True,101101101111101111111110101011,"3,5,5,3,3,3,3,4,5,3",S,0.75
route438_lambda_0.75,Frequency-only MILP,10.598536141135932,10.598536141135932,1.0292517175900214e-16,0.3237031817292447,3456.6228071152314,7221.745820384413,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,40.02610469585146,1.7009465000592172,0.0009134202350580855,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,0.75
route438_lambda_0.75,Joint MILP,9.905850152074063,9.662748049993894,0.3241361361068913,0.37618725454951896,4017.06723077431,6661.301675441702,6.775961525178525,0.3241361361068912,1.0,1.3277953372173068,23,5.6,5.485714285714286,36.54920371921752,4.463947500102222,0.025413027527863636,,18,True,101101101111101111111110101011,"5,7,7,5,5,5,5,5,7,5",MILP,0.75
route438_lambda_1.00,Current practice,11.43418076986891,11.43418076986891,1.0292517175900214e-16,0.27793055323068655,2967.8456787456134,7710.522665082381,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,40.15841699506601,0.014090099837630987,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,1.0
route438_lambda_1.00,Stop-only MILP,10.930758430905346,10.606622294798456,0.3241361361068913,0.3231527381251874,3450.7449658606256,7227.62365508505,6.775961525178525,0.3241361361068912,1.0,1.3277953372173068,23,3.7,8.55,36.69599861166541,1.306095500010997,0.009622113227992982,,18,True,101101101111101111111110101011,"3,5,5,3,3,3,3,4,5,3",S,1.0
route438_lambda_1.00,Frequency-only MILP,10.598536141135932,10.598536141135932,1.0292517175900214e-16,0.3237031817292447,3456.6228071152314,7221.745820384413,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,40.02610469585146,1.643075400032103,0.0,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,1.0
route438_lambda_1.00,Joint MILP,9.99505858631953,9.670922450212638,0.3241361361068913,0.3757203653144846,4012.0816141066116,6666.287289756611,6.775961525178525,0.3241361361068912,1.0,1.3277953372173068,23,5.6,5.485714285714286,36.57869241439411,3.9702427997253835,0.012519433080544153,,18,True,110101101111101111111110101011,"5,7,7,5,5,5,5,5,7,5",MILP,1.0
route438_lambda_1.40,Current practice,11.43418076986891,11.43418076986891,1.0292517175900214e-16,0.27793055323068655,2967.8456787456134,7710.522665082381,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,40.15841699506601,0.013552899938076735,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,1.4
route438_lambda_1.40,Stop-only MILP,10.939825362228833,10.914805366836884,0.0178714252799638,0.3062512139236687,3270.26421272782,7408.104310442243,6.469696814351598,0.017871425279963646,1.0,0.3639553138365688,26,3.7,8.55,38.13447209200318,1.2825726000592113,0.009941443297967891,,18,True,101101111111111111111111101011,"3,5,5,3,3,3,3,4,5,3",S,1.4
route438_lambda_1.40,Frequency-only MILP,10.598536141135932,10.598536141135932,1.0292517175900214e-16,0.3237031817292447,3456.6228071152314,7221.745820384413,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,40.02610469585146,1.6307999999262393,0.0,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,1.4
route438_lambda_1.40,Joint MILP,10.102295933242914,10.077275937850965,0.0178714252799638,0.3527376556195661,3766.663703549242,6911.705082955445,6.469696814351598,0.017871425279963646,1.0,0.3639553138365688,26,5.2,5.8,37.991126355171325,3.4822684000246227,0.009849769449058373,,18,True,101101111111111111111111101011,"5,6,5,5,5,5,5,5,6,5",MILP,1.4
route438_lambda_1.80,Current practice,11.43418076986891,11.43418076986891,1.0292517175900214e-16,0.27793055323068655,2967.8456787456134,7710.522665082381,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,40.15841699506601,0.013233399949967861,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,1.8
route438_lambda_1.80,Stop-only MILP,10.94697393234082,10.914805366836884,0.0178714252799638,0.3062512139236687,3270.26421272782,7408.104310442243,6.469696814351598,0.017871425279963646,1.0,0.3639553138365688,26,3.7,8.55,38.13447209200318,1.3075627996586263,0.007793066709969833,,18,True,101101111111111111111111101011,"3,5,5,3,3,3,3,4,5,3",S,1.8
route438_lambda_1.80,Frequency-only MILP,10.598536141135932,10.598536141135932,1.0292517175900214e-16,0.3237031817292447,3456.6228071152314,7221.745820384413,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,40.02610469585146,1.628286899998784,0.0,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,1.8
route438_lambda_1.80,Joint MILP,10.089162803072,10.056994237568064,0.0178714252799638,0.35397582942528644,3779.8853833398516,6898.483410885282,6.469696814351598,0.017871425279963646,1.0,0.3639553138365688,26,5.3,5.7,38.019298644330014,3.2589634000323713,0.009614889411901875,,18,True,110101111111111111111111101011,"5,6,6,5,5,5,5,5,6,5",MILP,1.8
route438_lambda_2.40,Current practice,11.43418076986891,11.43418076986891,1.0292517175900214e-16,0.27793055323068655,2967.8456787456134,7710.522665082381,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,40.15841699506601,0.013419300317764282,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,2.4
route438_lambda_2.40,Stop-only MILP,10.957696787508796,10.914805366836884,0.0178714252799638,0.3062512139236687,3270.26421272782,7408.104310442243,6.469696814351598,0.017871425279963646,1.0,0.3639553138365688,26,3.7,8.55,38.13447209200318,1.2857520999386907,0.009989093587369092,,18,True,101101111111111111111111101011,"3,5,5,3,3,3,3,4,5,3",S,2.4
route438_lambda_2.40,Frequency-only MILP,10.598536141135932,10.598536141135932,1.0292517175900214e-16,0.3237031817292447,3456.6228071152314,7221.745820384413,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,40.02610469585146,1.6208456000313163,0.0,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,2.4
route438_lambda_2.40,Joint MILP,10.099885658239977,10.056994237568064,0.0178714252799638,0.35397582942528644,3779.8853833398516,6898.483410885282,6.469696814351598,0.017871425279963646,1.0,0.3639553138365688,26,5.3,5.7,38.019298644330014,3.106811699923128,0.009979619866049116,,18,True,110101111111111111111111101011,"5,6,6,5,5,5,5,5,6,5",MILP,2.4
route438_lambda_3.00,Current practice,11.43418076986891,11.43418076986891,1.0292517175900214e-16,0.27793055323068655,2967.8456787456134,7710.522665082381,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,40.15841699506601,0.013250099960714579,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,3.0
route438_lambda_3.00,Stop-only MILP,10.968419642676775,10.914805366836884,0.0178714252799638,0.3062512139236687,3270.26421272782,7408.104310442243,6.469696814351598,0.017871425279963646,1.0,0.3639553138365688,26,3.7,8.55,38.13447209200318,1.2889749999158084,0.009638801789392517,,18,True,101101111111111111111111101011,"3,5,5,3,3,3,3,4,5,3",S,3.0
route438_lambda_3.00,Frequency-only MILP,10.598536141135932,10.598536141135932,1.0292517175900214e-16,0.3237031817292447,3456.6228071152314,7221.745820384413,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,40.02610469585146,1.6297687999904156,0.0,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,3.0
route438_lambda_3.00,Joint MILP,10.110608513407955,10.056994237568064,0.0178714252799638,0.35397582942528644,3779.8853833398516,6898.483410885282,6.469696814351598,0.017871425279963646,1.0,0.3639553138365688,26,5.3,5.7,38.019298644330014,3.1667364998720586,0.00924161071670661,,18,True,110101111111111111111111101011,"5,6,6,5,5,5,5,5,6,5",MILP,3.0
