instance,strategy,objective,z_eff,z_eq,transit_share,transit_ridership,private_flow,avg_access_min,avg_access_increase_min,coverage,max_zone_access_increase,retained_stops,avg_frequency,avg_wait_min,avg_ivh_min,runtime_sec,mip_gap,kkt_residual,fixed_point_iters,feasible,y_pattern,freq_pattern,strategy_short,mu_car,mu_ebike
route438_mu_c0.0035_e0.0056,Frequency-only MILP,10.643813249434816,10.643813249434816,1.0292517175900214e-16,0.32124252308110746,3430.346980111495,7248.021258760992,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,38.95640512161186,0.7576799001544714,0.0,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,0.0035,0.00561111111111111
route438_mu_c0.0035_e0.0056,Joint MILP,10.430744815867921,10.331039241239829,0.4985278731404669,0.3406845002151866,3637.9556332549846,7040.412701683717,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,5.3,6.385714285714285,35.139212960508885,2.6979729998856783,0.05468897741316743,,18,True,101101101111101111111010101011,"5,7,7,5,5,5,5,5,7,2",MILP,0.0035,0.00561111111111111
route438_mu_c0.0035_e0.0077,Current practice,11.44986584685492,11.44986584685492,1.0292517175900214e-16,0.277120165904181,2959.1920618721797,7719.176018455636,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,39.59770672177903,0.013551199808716774,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.0035,0.007666666666666665
route438_mu_c0.0035_e0.0077,Stop-only MILP,10.665431671697648,10.60060444447627,0.3241361361068913,0.3235144967633275,3454.6079589661795,7223.760423936342,6.775961525178525,0.3241361361068912,1.0,1.3277953372173068,23,3.7,8.55,36.08830041577074,0.710714100394398,0.0031954876915758785,,18,True,101101101111101111111110101011,"3,5,5,3,3,3,3,4,5,3",S,0.0035,0.007666666666666665
route438_mu_c0.0035_e0.0077,Frequency-only MILP,10.737045682309855,10.737045682309855,1.0292517175900214e-16,0.3161605798038552,3376.080102218064,7302.288241724896,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.2,5.85,39.52139041865451,0.8814226002432406,0.0,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,4",F,0.0035,0.007666666666666665
route438_mu_c0.0035_e0.0077,Joint MILP,10.175681689429755,10.061608327136081,0.5703668114683706,0.3535820359086687,3775.680309903244,6902.68825758155,7.022192200540005,0.5703668114683706,1.0,1.3277953372173068,23,5.4,5.885714285714285,36.08904428381523,2.7034268002025783,0.03513169357649189,,18,True,111101101110101111111110101011,"5,7,7,5,5,5,5,5,7,3",MILP,0.0035,0.007666666666666665
route438_mu_c0.0035_e0.0097,Current practice,11.419697992493983,11.419697992493983,1.0292517175900214e-16,0.2786979702992144,2976.040443243979,7702.327768937093,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,40.168770181103554,0.013757300097495317,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.0035,0.00972222222222222
route438_mu_c0.0035_e0.0097,Stop-only MILP,10.72037541123047,10.676173899226855,0.2210075600180764,0.3189975406366166,3406.3742237185993,7271.994253343519,6.6728329490897105,0.2210075600180763,1.0,0.3639553138365688,24,3.7,8.55,37.13924080745637,0.8787669995799661,0.0006592894992751302,,18,True,101101101111101111111111101011,"3,5,5,3,3,3,3,4,5,3",S,0.0035,0.00972222222222222
route438_mu_c0.0035_e0.0097,Frequency-only MILP,10.706777579391,10.706777579391,1.0292517175900214e-16,0.3177986405099666,3393.5719228604694,7284.796554686951,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.2,5.85,40.06206507372089,0.9109980002976954,0.007356933744833292,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,4",F,0.0035,0.00972222222222222
route438_mu_c0.0035_e0.0097,Joint MILP,10.2111431685407,10.132782700484338,0.39180234028180927,0.3509233457083238,3747.2898284304583,6931.0788490960595,6.843627729353443,0.3918023402818091,1.0,1.3277953372173068,24,5.4,5.885714285714285,37.065220245785234,2.7107792999595404,0.061202147804065035,,18,True,101101111111101111111010101111,"5,7,7,5,5,5,5,5,7,3",MILP,0.0035,0.00972222222222222
