instance,strategy,objective,z_eff,z_eq,transit_share,transit_ridership,private_flow,avg_access_min,avg_access_increase_min,coverage,max_zone_access_increase,retained_stops,avg_frequency,avg_wait_min,avg_ivh_min,runtime_sec,mip_gap,kkt_residual,fixed_point_iters,feasible,y_pattern,freq_pattern,n_stops,instance_id,origins,destinations,od_pairs,periods,total_demand
synthetic_12_stops_s400,All-stops baseline,6.756678941250646,6.756678941250646,1.5450184127435752e-16,0.4511710751731541,1786.1299190921175,2172.7430959133244,7.168697835808436,5.623380614311832e-17,0.9999999999999998,0.0,12,3.25,10.0,28.73247541296235,0.002264799550175667,,,17,True,111111111111,"4,3,4,2",12,I01,7,9,63,4,3958.8750639801588
synthetic_12_stops_s400,Greedy removal,6.501933689833352,6.449512567014259,0.1497746366259809,0.4752953064975177,1881.6347369198297,2077.238369050304,7.318472472434417,0.1497746366259808,0.9999999999999998,0.3562238934988775,9,3.25,10.0,27.24885290851463,0.05063579976558685,,,17,True,111111010101,"4,3,4,2",12,I01,7,9,63,4,3958.8750639801588
synthetic_12_stops_s400,Local search,5.513823654976387,5.513823654976387,1.5450184127435752e-16,0.5497060815879616,2176.217698916824,1782.6556971512844,7.168697835808436,5.623380614311832e-17,0.9999999999999998,0.0,11,6.0,5.0,27.998583577799813,26.92754830000922,,,17,True,111111111101,"6,6,6,6",12,I01,7,9,63,4,3958.8750639801588
synthetic_12_stops_s400,MILP approximation,5.216400453070251,5.216400453070251,1.5450184127435752e-16,0.5731956273070962,2269.2098757285275,1689.6636001622628,7.168697835808436,5.623380614311832e-17,0.9999999999999998,0.0,10,7.0,4.285714285714286,27.517532607478145,0.19823910016566515,0.009996122788400268,,17,True,111111011101,"7,7,7,7",12,I01,7,9,63,4,3958.8750639801588
synthetic_16_stops_s401,All-stops baseline,7.593370682293953,7.593370682293953,1.6482264300008306e-16,0.4425347916895804,3440.031338168215,4333.436118604948,7.010814474686987,2.6459531982540443e-18,1.0,0.0,16,3.0,11.0,32.93895538497175,0.0028101997449994087,,,17,True,1111111111111111,"4,3,4,2,2",16,I02,10,12,120,5,7773.470928769942
synthetic_16_stops_s401,Greedy removal,7.1089307969611655,7.095632725948535,0.03799448860751459,0.47616435036636545,3701.4497348895666,4072.0179381068488,7.048808963294502,0.03799448860751444,1.0,0.11432355779986586,12,3.0,11.0,30.843408284797214,0.10779339959844947,,,17,True,1111101010110111,"4,3,4,2,2",16,I02,10,12,120,5,7773.470928769942
synthetic_16_stops_s401,Local search,6.134093558080565,6.134093558080565,1.6482264300008306e-16,0.5422458112958682,4215.1320503557035,3558.336081497435,7.010814474686987,2.6459531982540443e-18,1.0,0.0,15,5.6,5.4,31.919670170027285,2.376066400203854,,,17,True,1111101111111111,"6,5,6,5,6",16,I02,10,12,120,5,7773.470928769942
synthetic_16_stops_s401,MILP approximation,5.557547637015065,5.544249566002435,0.03799448860751459,0.5835408820904407,4536.138082678809,3237.3302715707796,7.048808963294502,0.03799448860751444,1.0,0.11432355779986586,12,6.6,4.571428571428571,30.302803617025468,1.3887036996893585,0.009901581358604474,,17,True,1111101010110111,"7,6,7,6,7",16,I02,10,12,120,5,7773.470928769942
synthetic_20_stops_s402,All-stops baseline,9.327963537778219,9.327963537778219,1.3673497342288913e-16,0.3698874739037172,4840.663573504147,8246.18860196089,10.465641549248783,-3.798306714290889e-17,0.9999999999999999,0.0,20,2.8333333333333335,11.666666666666666,38.26501586440625,0.004381800070405006,,,18,True,11111111111111111111,"4,3,4,2,2,2",20,I03,13,15,195,6,13086.85455718943
synthetic_20_stops_s402,Greedy removal,8.682960491585588,8.614466463940623,0.1956972218427559,0.41278869457597506,5402.105608767875,7684.746773770868,10.66133877109154,0.1956972218427557,0.9999999999999999,0.3185803194465221,14,2.8333333333333335,11.666666666666666,35.02786688387473,0.28436970012262464,,,18,True,10110110101110110111,"4,3,4,2,2,2",20,I03,13,15,195,6,13086.85455718943
synthetic_20_stops_s402,Local search,7.9114897625896,7.9114897625896,1.3673497342288913e-16,0.4564983317977801,5974.127273837151,7112.7253835189495,10.465641549248783,-3.798306714290889e-17,0.9999999999999999,0.0,19,5.0,6.0,36.98410853025337,5.693846100009978,,,18,True,11111111101111111111,"5,5,5,5,5,5",20,I03,13,15,195,6,13086.85455718943
synthetic_20_stops_s402,MILP approximation,7.112090627086031,7.103998191760515,0.023121243787190857,0.5068639769879718,6633.255147120197,6453.5953419897705,10.488762793035972,0.023121243787190677,0.9999999999999999,0.0,15,6.0,5.0,34.70531630821484,6.167015400249511,0.10836058154566863,,17,True,10111110101110110111,"6,6,6,6,6,6",20,I03,13,15,195,6,13086.85455718943
synthetic_24_stops_s403,All-stops baseline,9.52776795398385,9.52776795398385,1.6335557329295338e-16,0.4027289933995987,4707.893303121196,6982.083688518926,9.381626692297768,-3.184271360373369e-17,0.9999999999999999,0.0,24,3.25,10.0,42.95854968758441,0.0032028001733124256,,,18,True,111111111111111111111111,"4,3,4,2",24,I04,13,18,234,4,11689.978571892627
synthetic_24_stops_s403,Greedy removal,8.530428470869651,8.530428470869651,1.6335557329295338e-16,0.45788538804690654,5352.6703746510775,6337.3067887544585,9.381626692297768,-3.184271360373369e-17,0.9999999999999999,0.0,17,3.25,10.0,38.875052908322,0.3024368998594582,,,18,True,111010111011011101010111,"4,3,4,2",24,I04,13,18,234,4,11689.978571892627
synthetic_24_stops_s403,Local search,8.819346286553492,8.819346286553492,1.6335557329295338e-16,0.44282663564229585,5176.633881721742,6513.343303256874,9.381626692297768,-3.184271360373369e-17,0.9999999999999999,0.0,23,4.0,7.5,41.90999019943211,89.18190569989383,,,18,True,111110111111111111111111,"4,4,4,4",24,I04,13,18,234,4,11689.978571892627
synthetic_24_stops_s403,MILP approximation,7.301969983469235,7.301969983469235,1.6335557329295338e-16,0.5288379029090806,6182.103753011786,5507.873627030867,9.381626692297768,-3.184271360373369e-17,0.9999999999999999,0.0,17,5.5,5.5,37.956114478862034,6.311089199967682,0.05694309995821267,,18,True,111010111011011101010111,"6,5,6,5",24,I04,13,18,234,4,11689.978571892627
synthetic_28_stops_s404,All-stops baseline,9.637648418849544,9.637648418849544,1.7273935664310005e-16,0.38464262656270604,5508.611834887449,8812.762424358414,7.643083323808431,1.0258043016256187e-17,0.9999999999999999,0.0,28,3.0,11.0,45.60537975499256,0.0041900998912751675,,,18,True,1111111111111111111111111111,"4,3,4,2,2",28,I05,16,17,272,5,14321.3764010355
synthetic_28_stops_s404,Greedy removal,8.758178232528996,8.630444108819624,0.3649546391696329,0.43897660404031413,6286.74917770966,8034.625321739195,8.008037962978062,0.3649546391696328,0.9999999999999999,0.0,20,3.0,11.0,41.07116847073628,0.5308513003401458,,,18,True,1011011010111101110111101101,"4,3,4,2,2",28,I05,16,17,272,5,14321.3764010355
synthetic_28_stops_s404,Local search,8.720966422362428,8.720966422362428,1.7273935664310005e-16,0.43442133210300776,6221.511413686421,8099.863173696989,7.643083323808431,1.0258043016256187e-17,0.9999999999999999,0.0,27,4.0,7.5,44.43303229425568,6.632867199834436,,,18,True,1111111111111111111111101111,"4,4,4,4,4",28,I05,16,17,272,5,14321.3764010355
synthetic_28_stops_s404,MILP approximation,8.403322333432657,8.403322333432657,1.7273935664310005e-16,0.4518479128797637,6471.084036373393,7850.2906175815515,7.643083323808431,1.0258043016256187e-17,0.9999999999999999,0.0,28,5.0,6.0,44.72707280975847,6.23380049970001,0.39224694083709727,,18,True,1111111111111111111111111111,"5,5,5,5,5",28,I05,16,17,272,5,14321.3764010355
synthetic_12_stops_s405,All-stops baseline,7.4255453389394805,7.4255453389394805,1.2382643851312305e-16,0.409498103327839,2869.3750676743875,4137.6746485905005,8.830304470158682,-4.332641521748476e-17,0.9999999999999999,0.0,12,2.8333333333333335,11.666666666666666,29.554114686306765,0.002929599955677986,,,17,True,111111111111,"4,3,4,2,2,2",12,I06,9,10,90,6,7007.053376697089
synthetic_12_stops_s405,Greedy removal,7.321275468960918,7.238235147615688,0.23725806098637267,0.42320057324051275,2965.3890057450785,4041.6607993550883,9.067562531145054,0.23725806098637253,0.9999999999999999,0.16077946957332157,10,2.8333333333333335,11.666666666666666,28.50881847305644,0.0666482001543045,,,17,True,111111010111,"4,3,4,2,2,2",12,I06,9,10,90,6,7007.053376697089
synthetic_12_stops_s405,Local search,5.977480302651245,5.960902898047643,0.04736401315314889,0.5229278292886557,3664.183211985954,3342.8672860402467,8.87766848331183,0.047364013153148726,0.9999999999999999,0.16077946957332157,11,6.0,5.0,28.686823631483563,2.2424936001189053,,,17,True,111111110111,"6,6,6,6,6,6",12,I06,9,10,90,6,7007.053376697089
synthetic_12_stops_s405,MILP approximation,5.77757941260483,5.6945390912596,0.23725806098637267,0.5429084786435318,3804.1886885166386,3202.8619188398216,9.067562531145054,0.23725806098637253,0.9999999999999999,0.16077946957332157,10,7.0,4.285714285714286,28.16901253617442,2.282821400091052,0.009386943853903436,,17,True,111111010111,"7,7,7,7,7,7",12,I06,9,10,90,6,7007.053376697089
synthetic_16_stops_s406,All-stops baseline,7.860148636953633,7.860148636953633,1.6896103848933097e-16,0.4511511099482732,2981.278260948401,3626.8778472563154,8.48929013532989,7.49974706429616e-17,1.0,0.0,16,3.25,10.0,33.323477583589565,0.002218499779701233,,,17,True,1111111111111111,"4,3,4,2",16,I07,9,13,117,4,6608.158985334692
synthetic_16_stops_s406,Greedy removal,7.350638765159455,7.331690606780076,0.054137595369653596,0.4848446797440522,3203.93072694238,3404.2255606582935,8.543427730699543,0.05413759536965352,1.0,0.10320900016414701,12,3.25,10.0,31.161001608789793,0.08681849995627999,,,17,True,1110110110111011,"4,3,4,2",16,I07,9,13,117,4,6608.158985334692
synthetic_16_stops_s406,Local search,6.62095218251204,6.62095218251204,1.6896103848933097e-16,0.5330648021816697,3522.576962302461,3085.579611043143,8.48929013532989,7.49974706429616e-17,1.0,0.0,15,5.5,5.5,32.34899956134945,41.220392199698836,,,17,True,1111111111111011,"6,5,6,5",16,I07,9,13,117,4,6608.158985334692
synthetic_16_stops_s406,MILP approximation,6.002240788008929,5.9959633327498025,0.017935586454645294,0.5744256418935023,3795.895966885196,2812.260798270715,8.507225721784534,0.0179355864546452,1.0,0.0,12,6.5,4.642857142857142,30.69686553800309,1.4671837999485433,0.009731619661081856,,17,True,1101010111111011,"7,6,7,6",16,I07,9,13,117,4,6608.158985334692
synthetic_20_stops_s407,All-stops baseline,8.2292833742835,8.2292833742835,1.380896123682044e-16,0.4795671428521804,4984.793749583945,5409.564983240889,6.976393919510767,4.0325290241056884e-18,1.0,0.0,20,3.0,11.0,37.00006376732389,0.0035391999408602715,,,18,True,11111111111111111111,"4,3,4,2,2",20,I08,12,16,192,5,10394.360464183084
synthetic_20_stops_s407,Greedy removal,7.693056613272218,7.586436763555298,0.30462814204834293,0.514522008899947,5348.127227261666,5046.229484241665,7.281022061559109,0.3046281420483428,1.0,0.0,15,3.0,11.0,34.27633288881656,0.2268346999771893,,,17,True,11111101010111011011,"4,3,4,2,2",20,I08,12,16,192,5,10394.360464183084
synthetic_20_stops_s407,Local search,6.733167483853302,6.733167483853302,1.380896123682044e-16,0.5637451577433922,5859.770379522572,4534.586771910368,6.976393919510767,4.0325290241056884e-18,1.0,0.0,19,5.0,6.0,35.76248094212015,3.6955844000913203,,,17,True,11111101111111111111,"5,5,5,5,5",20,I08,12,16,192,5,10394.360464183084
synthetic_20_stops_s407,MILP approximation,6.0746588200079294,5.968038970291009,0.30462814204834293,0.6075912149949675,6315.522103528654,4078.8353296422233,7.281022061559109,0.3046281420483428,1.0,0.0,15,6.0,5.0,33.504493156816785,6.321140700019896,0.0264488769098536,,17,True,11111101010111011011,"6,6,6,6,6",20,I08,12,16,192,5,10394.360464183084
synthetic_24_stops_s408,All-stops baseline,9.466434386293503,9.466434386293503,1.8086215951099467e-16,0.3977299567176736,5247.0036679723535,7945.371295752629,8.091210601315113,4.805204735064157e-17,0.9999999999999999,0.0,24,2.8333333333333335,11.666666666666666,40.7515005701814,0.004725400358438492,,,18,True,111111111111111111111111,"4,3,4,2,2,2",24,I09,15,15,225,6,13192.377338820646
synthetic_24_stops_s408,Greedy removal,8.74487626170497,8.592475927837864,0.43542952533458945,0.4455912036766829,5878.407297762087,7313.9649968660815,8.526640126649703,0.43542952533458934,0.9999999999999999,0.5614470667323634,17,2.8333333333333335,11.666666666666666,36.92663346902649,0.4193269000388682,,,17,True,110110111010101111011011,"4,3,4,2,2,2",24,I09,15,15,225,6,13192.377338820646
synthetic_24_stops_s408,Local search,8.086808785956547,8.086808785956547,1.8086215951099467e-16,0.4750564151278404,6267.123485593896,6925.251900889196,8.091210601315113,4.805204735064157e-17,0.9999999999999999,0.0,23,4.5,6.75,39.49837583578382,7.657277399674058,,,18,True,111111111011111111111111,"5,4,5,4,5,4",24,I09,15,15,225,6,13192.377338820646
synthetic_24_stops_s408,MILP approximation,7.166390304550096,7.15667963850692,0.027744760123360693,0.5289089028149645,6977.565823796629,6214.807398970691,8.118955361438474,0.02774476012336057,0.9999999999999999,0.10559067897244419,19,5.5,5.5,37.11693265847809,6.212717299815267,0.10232330505909663,,17,True,110111111011101111011011,"6,5,6,5,6,5",24,I09,15,15,225,6,13192.377338820646
synthetic_28_stops_s409,All-stops baseline,9.942658164258004,9.942658164258004,1.868387193834855e-16,0.4002296895989142,4887.980956789369,7324.956847561528,7.735530677168593,6.303542738099298e-17,1.0,0.0,28,3.25,10.0,46.23680948922005,0.0034420001320540905,,,18,True,1111111111111111111111111111,"4,3,4,2",28,I10,15,18,270,4,12212.939429075854
synthetic_28_stops_s409,Greedy removal,8.8227361025503,8.787185865246428,0.1015721065824886,0.46176284633282766,5639.481672860486,6573.456338776421,7.8371027837510825,0.10157210658248848,1.0,0.022443359471562636,20,3.25,10.0,41.48845988717967,0.4531370997428894,,,18,True,1101010111101101110110111011,"4,3,4,2",28,I10,15,18,270,4,12212.939429075854
synthetic_28_stops_s409,Local search,9.180581075263367,9.180581075263367,1.868387193834855e-16,0.4418334771947082,5396.085494716939,6816.852523872794,7.735530677168593,6.303542738099298e-17,1.0,0.0,27,4.0,7.5,45.121069266946094,114.90080800000578,,,18,True,1111110111111111111111111111,"4,4,4,4",28,I10,15,18,270,4,12212.939429075854
synthetic_28_stops_s409,MILP approximation,7.710960678186537,7.675410440882666,0.1015721065824886,0.5240297310650944,6399.943364532908,5812.994860841008,7.8371027837510825,0.10157210658248848,1.0,0.022443359471562636,20,5.0,6.0,40.61123069003649,6.307152399793267,0.08288887751903892,,18,True,1101010111101101110110111011,"5,5,5,5",28,I10,15,18,270,4,12212.939429075854
synthetic_12_stops_s410,All-stops baseline,7.48383359782193,7.48383359782193,2.324749489468608e-16,0.3602468829186979,2496.737838074994,4433.890515508867,10.651319106406783,4.4520751866201323e-17,1.0,0.0,12,3.0,11.0,30.284435753628145,0.0030398000963032246,,,18,True,111111111111,"4,3,4,2,2",12,I11,8,11,88,5,6930.629955342234
synthetic_12_stops_s410,Greedy removal,7.345674280697346,7.304386655187356,0.11796464431425856,0.3748634380249187,2598.0397727380787,4332.586603555598,10.769283750721042,0.11796464431425838,1.0,0.0,10,3.0,11.0,29.257627907777838,0.06332969991490245,,,17,True,110111110111,"4,3,4,2,2",12,I11,8,11,88,5,6930.629955342234
synthetic_12_stops_s410,Local search,6.233101150967635,6.233101150967635,2.324749489468608e-16,0.4647629832197738,3221.1002536371843,3709.526748766621,10.651319106406783,4.4520751866201323e-17,1.0,0.0,11,6.0,5.0,29.344803341455368,1.8914077999070287,,,17,True,110111111111,"6,6,6,6,6",12,I11,8,11,88,5,6930.629955342234
synthetic_12_stops_s410,MILP approximation,5.918429691171729,5.877142065661739,0.11796464431425856,0.4943701898034019,3426.296846479683,3504.3303175288656,10.769283750721042,0.11796464431425838,1.0,0.0,9,7.0,4.285714285714286,28.334563294544733,0.4082813998684287,0.009982154503534726,,17,True,101011110111,"7,7,7,7,7",12,I11,8,11,88,5,6930.629955342234
synthetic_16_stops_s411,All-stops baseline,8.036909159979311,8.036909159979311,1.8234938897388472e-16,0.4353020805329032,4842.844960122489,6282.401633397018,8.24935014766386,4.174897341975268e-17,0.9999999999999999,0.0,16,2.8333333333333335,11.666666666666666,33.964330928992275,0.003622999880462885,,,17,True,1111111111111111,"4,3,4,2,2,2",16,I12,11,14,154,6,11125.251122608483
